"","Date","Price","Open","High","Low","Volume","Change"
"1","Aug 27, 2021","1,819.50","1,795.20","1,821.90","1,785.20","203.64K","1.35%"
"2","Aug 26, 2021","1,795.20","1,793.00","1,800.40","1,781.30","134.53K","0.23%"
"3","Aug 25, 2021","1,791.00","1,805.10","1,805.30","1,784.00","163.46K","-0.97%"
"4","Aug 24, 2021","1,808.50","1,807.60","1,812.20","1,802.60","114.79K","0.12%"
"5","Aug 23, 2021","1,806.30","1,781.20","1,809.10","1,778.00","156.32K","1.25%"
"6","Aug 20, 2021","1,784.00","1,782.80","1,791.00","1,780.00","107.97K","0.05%"
"7","Aug 19, 2021","1,783.10","1,789.50","1,795.00","1,774.60","151.25K","-0.07%"
"8","Aug 18, 2021","1,784.40","1,787.80","1,795.70","1,778.80","132.73K","-0.19%"
"9","Aug 17, 2021","1,787.80","1,789.10","1,797.60","1,782.10","144.82K","-0.11%"
"10","Aug 16, 2021","1,789.80","1,780.90","1,791.30","1,772.00","137.70K","0.65%"
"11","Aug 13, 2021","1,778.20","1,754.40","1,781.90","1,753.00","144.81K","1.51%"
"12","Aug 12, 2021","1,751.80","1,752.90","1,759.60","1,742.60","137.12K","-0.09%"
"13","Aug 11, 2021","1,753.30","1,730.40","1,756.70","1,724.60","185.44K","1.25%"
"14","Aug 10, 2021","1,731.70","1,732.00","1,739.40","1,718.50","182.56K","0.30%"
"15","Aug 09, 2021","1,726.50","1,765.00","1,765.70","1,677.90","289.54K","-2.08%"
"16","Aug 06, 2021","1,763.10","1,806.70","1,807.00","1,759.50","323.15K","-2.53%"
"17","Aug 05, 2021","1,808.90","1,814.90","1,817.90","1,799.70","169.84K","-0.31%"
"18","Aug 04, 2021","1,814.50","1,813.70","1,835.90","1,808.30","244.68K","0.02%"
"19","Aug 03, 2021","1,814.10","1,816.80","1,818.20","1,809.50","103.45K","-0.44%"
"20","Aug 02, 2021","1,822.20","1,817.00","1,823.20","1,808.20","159.76K","0.28%"
"21","Jul 30, 2021","1,817.20","1,832.50","1,835.50","1,813.10","157.14K","-1.01%"
"22","Jul 29, 2021","1,835.80","1,811.50","1,837.50","1,810.90","212.07K","1.73%"
"23","Jul 28, 2021","1,804.60","1,802.40","1,813.90","1,795.60","198.60K","0.03%"
"24","Jul 27, 2021","1,804.00","1,801.50","1,809.50","1,796.90","77.69K","0.27%"
"25","Jul 26, 2021","1,799.20","1,802.30","1,812.00","1,796.00","204.55K","-0.14%"
"26","Jul 23, 2021","1,801.80","1,807.70","1,810.70","1,789.10","236.76K","-0.20%"
"27","Jul 22, 2021","1,805.40","1,803.90","1,808.40","1,791.90","193.32K","0.11%"
"28","Jul 21, 2021","1,803.40","1,810.60","1,814.40","1,794.30","218.64K","-0.44%"
"29","Jul 20, 2021","1,811.40","1,813.50","1,825.90","1,805.20","221.14K","0.12%"
"30","Jul 19, 2021","1,809.20","1,811.60","1,818.00","1,795.00","249.68K","-0.32%"
"31","Jul 16, 2021","1,815.00","1,830.70","1,832.70","1,809.50","184.66K","-0.77%"
"32","Jul 15, 2021","1,829.00","1,828.70","1,835.00","1,820.60","175.61K","0.22%"
"33","Jul 14, 2021","1,825.00","1,808.30","1,831.10","1,804.90","229.88K","0.83%"
"34","Jul 13, 2021","1,809.90","1,806.70","1,818.00","1,798.70","242.18K","0.22%"
"35","Jul 12, 2021","1,805.90","1,808.50","1,811.00","1,791.00","201.42K","-0.26%"
"36","Jul 09, 2021","1,810.60","1,803.20","1,813.00","1,796.60","185.58K","0.58%"
"37","Jul 08, 2021","1,800.20","1,803.80","1,819.50","1,793.50","249.34K","-0.11%"
"38","Jul 07, 2021","1,802.10","1,797.00","1,810.20","1,794.10","171.08K","0.44%"
"39","Jul 06, 2021","1,794.20","1,787.50","1,815.70","1,784.70","276.60K","0.16%"
"40","Jul 05, 2021","1,791.30","1,786.50","1,794.65","1,784.75","0","0.27%"
"41","Jul 04, 2021","1,786.40","1,788.00","1,788.00","1,785.80","0","0.17%"
"42","Jul 02, 2021","1,783.30","1,777.50","1,795.90","1,774.40","205.86K","0.37%"
"43","Jul 01, 2021","1,776.80","1,770.80","1,783.40","1,765.90","171.44K","0.29%"
"44","Jun 30, 2021","1,771.60","1,761.90","1,774.70","1,753.20","177.89K","0.45%"
"45","Jun 29, 2021","1,763.60","1,778.80","1,779.20","1,750.10","239.91K","-0.96%"
"46","Jun 28, 2021","1,780.70","1,782.00","1,786.10","1,770.40","160.79K","0.16%"
"47","Jun 25, 2021","1,777.80","1,775.70","1,791.00","1,773.60","161.20K","0.06%"
"48","Jun 24, 2021","1,776.70","1,778.20","1,788.60","1,772.70","152.23K","-0.38%"
"49","Jun 23, 2021","1,783.40","1,779.10","1,795.60","1,773.10","179.27K","0.34%"
"50","Jun 22, 2021","1,777.40","1,783.20","1,790.10","1,771.20","172.75K","-0.31%"
"51","Jun 21, 2021","1,782.90","1,764.30","1,786.90","1,764.10","195.52K","0.79%"
"52","Jun 18, 2021","1,769.00","1,773.90","1,797.90","1,761.20","264.61K","-0.33%"
"53","Jun 17, 2021","1,774.80","1,812.30","1,826.40","1,767.90","385.89K","-4.65%"
"54","Jun 16, 2021","1,861.40","1,861.00","1,866.00","1,804.40","234.10K","0.27%"
"55","Jun 15, 2021","1,856.40","1,867.80","1,870.90","1,853.00","155.34K","-0.51%"
"56","Jun 14, 2021","1,865.90","1,879.60","1,879.70","1,845.70","242.30K","-0.73%"
